〒	(ゆうびん)
0	(かんすうじゼロ)『(まる)
る又	るまた
阿	(ア)(オ)〜(おもね・る)(くま)(ほとり)(あず)(あわ)(おか)(きた)(な)
嗄	(サ)〜(か・らす)(か・れる)(しゃが・れる)
哀	(アイ)〜(あわ・れ)(あわ・れむ)(かな・しい)
埃	(アイ)〜(ほこり)(ちり)
欸	(アイ)(カイ)
挨	(アイ)〜(ひら・く)
啀	(ガイ)〜(いがむ)
皚	(ガイ)(ギ)(ゲ)(カイ)〜(しろ・い)(さむ・い)
癌	(ガン)
矮	(ワイ)(アイ)〜(ひく・い)
藹	(アイ)
靄	(アイ)〜(もや)
艾	(カイ)(ゲイ)〜(もぐさ)(よもぎ)(おさ・める)(か・る)
隘	(アイ)(ヤク)〜(せま・い)
碍	{礙}碍。(ガイ)(ゲ)〜(さまた・げる)
愛	(アイ)〜(いと・しい)(あ)(あし)(え)(かな)(まな)(めぐ)(めぐみ)(よし)『おしむ『かなしい『めでる
噯	おくび
噯気	{噯氣}噯気。おくび
噯氣	{噯氣}噯気。おくび
曖	(アイ)〜(くら・い)
瞹	(アイ)
礙	{礙}碍。(ガイ)(ゲ)〜(さまた・げる)
安	(アン)〜(やす・い)(やす・まる)(やす)(やす・らか)(あ)(あす)(あず)(あっ)(や)『いずくに『いずくんぞ
庵	{庵}菴。(アン)〜(いおり)(いお)(あ)(い)(いほり)『いほ
鞍	(アン)〜(くら)
諳	(アン)(オン)〜(そら・んじる)『そらんずる
闇	(アン)(オン)〜(やみ)(くら・い)
鮟	(アン)
俺	(エン)〜(おれ)(われ)
唵	おん
岸	(ガン)〜(きし)(けし)
按	(アン)〜(おさ・える)(しら・べる)
案	(アン)〜(つくえ)
暗	(アン)〜(くら・い)『くれ『そらんずる『ひそかに
黯	(アン)〜(くら・い)
昂	(コウ)(ゴウ)〜(あ・がる)(たか・い)(たか・ぶる)(あき)(あきら)(たか)(たかし)(のぼる)『カウ
凹	(オウ)〜(くぼ・む)(へこ・む)(ぼこ)『アフ『くぼ
敖	(ゴウ)〜(あそ・ぶ)(おご・る)
遨	(ゴウ)〜(あそ・ぶ)
嗷	(ゴウ)〜(かまびす・しい)
熬	(ゴウ)〜(い・る)
螯	(ゴウ)〜(はさみ)
鏖	(オウ)〜(みなごろ・し)
鰲	(ゴウ)〜(おおがめ)
