過	EgOL_冎口辶〔CJK〕
出	CU_屮凵〔CJK〕
一	Hi_一〔CJK〕
了	Le_了〔CJK〕
大	Nr_大〔CJK〕
中	OS_口丨〔CJK〕
人	Rn_人〔CJK〕
二	Ve_二〔CJK〕
不	Ww_不〔CJK〕
也	Ye_也〔CJK〕
已	Zy_已〔CJK〕
的	BaPkD_白勹丶〔CJK〕
要	AxNv_覀女〔CJK〕
是	BoL_日疋〔CJK〕
在	FsTu_土〔CJK〕
能	GsiDvUbiUbi_厶⺝匕〔CJK〕
這	IiL_言辶〔CJK〕
成	JpZ_戊〔CJK〕
着	KyEmu_目〔CJK〕
來	MuRnRn_木人人〔CJK〕
我	PFsJge_丿扌〔CJK〕
上	QbuHi_⺊一〔CJK〕
次	SbEq_冫欠〔CJK〕
地	TuYe_土也〔CJK〕
和	UhO_禾口〔CJK〕
爲	XzPZZZWu_爫丿ヿヿヿ灬〔CJK〕
口	O.d_口〔CJK〕
〇	O.l_口〔符号和标点〕
說	IiVbORe_言八口儿〔CJK〕
為	DPZZZWu_丶丿ヿヿヿ灬〔CJK〕
羣	XjiPOKy_丿口羊〔CJK〕
因	AkNr_囗大〔CJK〕
困	AkMu_囗木〔CJK〕
料	UiUdu_米斗〔CJK〕
閑	AmMu_門木〔CJK〕
牀	ApMu_爿木〔CJK〕
右	FO_口〔CJK〕
乍	QQ_〔CJK〕
乜	ZZ_乚〔CJK〕
冇	FA_冂〔CJK〕
弗	JgJ_弓〔CJK〕
蒿	CIo_艹高〔CJK〕
唬	OKhu_口虎〔CJK〕
宕	ATo_宀石〔CJK〕
芄	CPd_艹丸〔CJK〕
芎	CJg_艹弓〔CJK〕
芟	CJx_艹殳〔CJK〕
癶	L.zd_癶〔CJK〕
廴	L.z_廴〔CJK〕
辶	L.d_辶〔CJK〕
㐄	L.s_㐄〔ExtA〕
夂	L.p_夂〔CJK〕
辵	L.p_辶〔CJK〕
疋	L.pi_疋〔CJK〕
角	Ej.i_角〔CJK〕
儿	Re.r_儿〔CJK〕
皮	Ep.i_皮〔CJK〕
瓦	Uw.a_瓦〔CJK〕
攴	Xp.u_攵〔CJK〕
禾	Uh.e_禾〔CJK〕
麻	Ym.a_麻〔CJK〕
乂	X.yi_乂〔CJK〕
礻	Qs.i_示〔CJK〕
气	Wq.i_气〔CJK〕
丿	P.i.e_丿〔CJK〕
毛	Em.a_毛〔CJK〕
鬥	Ad.o_鬥〔CJK〕
囟	Ex.in_囟〔CJK〕
臼	Uj.iu_臼〔CJK〕
耒	Ul.ei_耒〔CJK〕
囗	Ak.v_囗〔CJK〕
囪	Ac.v_囱〔CJK〕
廾	Cg.v_廾〔CJK〕
卵	El.v_卵〔CJK〕
血	Ex.v_血〔CJK〕
飞	Ef.v_飞〔CJK〕
甴	Gy.v_由〔CJK〕
匚	Hk.v_匚〔CJK〕
弓	Jg.v_弓〔CJK〕
黽	Km.v_黾〔CJK〕
龍	Kl.v_龙〔CJK〕
虫	Kc.v_虫〔CJK〕
隹	Kz.v_隹〔CJK〕
亍	Lci_彳〔CJK〕
舟	Lz.v_舟〔CJK〕
毌	Ng.v_毌〔CJK〕
缶	Uf.v_缶〔CJK〕
风	Wf.v_风〔CJK〕
丰	Cf.v_丰〔CJK〕
爪	Xz.v_爪〔CJK〕
曰	Bo.v_曰〔CJK〕
足	Lo.v_足〔CJK〕
戊	Jp.v_戊〔CJK〕
丸	Pd.v_丸〔CJK〕
韭	Uh.v_韭〔CJK〕
爿	Ap.v_爿〔CJK〕
壬	Gr.v_壬〔CJK〕
臣	Nc.v_臣〔CJK〕
镸	Yc.v_镸〔CJK〕
亥	Kh.v_亥〔CJK〕
歹	Ed.v_歹〔CJK〕
齊	Iq.v_齐〔CJK〕
巾	Yj.v_巾〔CJK〕
皿	Um.v_皿〔CJK〕
髟	Eb.v_髟〔CJK〕
糸	Ys.v_糸〔CJK〕
舌	Eo.v_舌〔CJK〕
廿	Ch.v_廿〔CJK〕
殳	Jx.v_殳〔CJK〕
羋	Ky.v_羊〔CJK〕
鬯	Uu.vv_鬯〔CJK〕
爻	Xx.vv_爻〔CJK〕
	Xx.vv_〔私用区〕
⺽	Xx.vv_⺽〔部首补充〕
𦥑	Xx.vv_⺽〔ExtB〕
⽘	Xx.vv_爻〔康熙部首〕
〷	XX.vv_乂乂〔符号和标点〕
舛	Lv.v_舛〔CJK〕
谷	Tv.v_谷〔CJK〕
曱	Gs.v_甲〔CJK〕
习	Ev.v_习〔CJK〕
龠	Iv.vv_龠〔CJK〕
衤	Yi.v_衤〔CJK〕
穴	Av.v_穴〔CJK〕
鬲	Uli.v_鬲〔CJK〕
幺	Ya.ov_幺〔CJK〕
冂	A_冂〔CJK〕
宀	A_宀〔CJK〕
冖	A_冖〔CJK〕
	A_冂〔私用区〕
	A_冂〔私用区〕
𫡃	A_冂〔ExtE〕
	A_冂〔私用区〕
⺆	A_冂〔部首补充〕
	A_冂〔私用区〕
⼌	A_冂〔康熙部首〕
⼍	A_冖〔康熙部首〕
⼧	A_宀〔康熙部首〕
ㄇ	A_冂〔注音符号〕
窗	AvAc_穴囱〔CJK〕
𠔽	AA_冂冂〔ExtB〕
𠕄	AA_冂冂〔ExtB〕
奰	AsAsAsNr_罒罒罒大〔CJK〕
𨷾	AmAmAmAm_門門門門〔ExtB〕
𢩕	AhuAhuAhu_戶戶戶〔ExtB〕
𥥺	AvAhuAhu_戶戶〔ExtB〕
𨷮	AmAmAm_門門門〔ExtB〕
