囪	［囪-囱］
𫜃	［鷣-𫜃］
𪺣	［𤘀-𪺣］
𨶀	［𨶀-𨸉］
𨸉	［𨶀-𨸉］
𫖶	［顅-𫖶］
𫔮	［閒-闲𫔮］
閐	［閐-𨸃］
𨸃	［閐-𨸃］
𫔶	［闑-𫔶］
𫔲	［𨴹-𫔲］
𥨐	［𥨐-𥧂］
𥧂	［𥨐-𥧂］
𫔰	［閞-𫔰］
𤳷	［𤳷-𪽝］
𫔭	［開-开𫔭］
𫛢	［鸋-𫛢］
䎙	［䎙-𫅭］
𨵩	［𨵩-𨸆］
𨸆	［𨵩-𨸆］
𨴗	［𨴗-𨸅］
𨸅	［𨴗-𨸅］
䦯	［䦯-𫔵］
𫔵	［䦯-𫔵］
閍	［閍-𨸂］
𨸂	［閍-𨸂］
𫅅	［䍤-𫅅］
𨸎	［𨷲-𨸎］
𪢮	［圞-𪢮］
𨳑	［𨳑-𨸁］
𨸁	［𨳑-𨸁］
𫅭	［䎙-𫅭］
𨶲	［𨶲-𨸋］
𨸋	［𨶲-𨸋］
𫔴	［閵-𫔴］
鷅	［鷅-𫛽］
𫛽	［鷅-𫛽］
𫛩	［鴳-𫛩］
𨳕	［𨳕-𨸀］
𨸀	［𨳕-𨸀］
𫌬	［𧢄-𫌬］
內	［內-内］
䪴	［䪴-𫖫］
𫖫	［䪴-𫖫］
𨸇	［𨵸-𨸇］
䦷	［䦟-䦷］
䦶	［䦛-䦶］
𫠂	［閝-𫠂］
𨶮	［𨶮-𨸌］
𨸌	［𨶮-𨸌］
𪽝	［𤳷-𪽝］
䶲	［䶲-𫜳］
𫜳	［䶲-𫜳］
𫛲	［鵰-𫛲］
𫔯	［閗-𫔯］
𨸊	［𨶏-𨸊］
𪧘	［寠-𪧘］
𡮉	［𡮉-𡭜］
𡭜	［𡮉-𡭜］
𪹀	［𤑹-𪹀］
䦳	［䦳-𨷿］
𨷿	［䦳-𨷿］
𨸄	［䦘-𨸄］
𤽯	［㿧-𤽯］
皟	［皟-𤾀］
𤾀	［皟-𤾀］
𫜀	［鷐-𫜀］
鼌	［鼂↦鼌］
𪰶	［曊-𪰶］
曥	［曥-𣆐］
𫜙	［䵴-𫜙］
𫛸	［鶗-𫛸］
𣆐	［曥-𣆐］
蕳	［蕳-𫈉］
𫈉	［蕳-𫈉］
䓖	［藭-䓖］
𫜰	［齾-𫜰］
𫇽	［蕽-𫇽］
𫇭	［蔿-𫇭］
𪫷	［㦞-𪫷］
萚	［蘀-萚］
𩔳	［𩔳-𫖴］
𫖴	［𩔳-𫖴］
𪟝	［勣-𪟝］
𫉄	［藷-𫉄］
蕽	［蕽-𫇽］
𫜩	［齧-啮𫜩］
䕳	［䕳-𦰴］
𦰴	［䕳-𦰴］
𪉑	［鷔-𪉑］
	［蘋-苹］
鶦	［鶦-𫛷］
𫛷	［鶦-𫛷］
菕	［芲菕-芲］
𫇴	［蒭-𫇴］
𫈟	［蔯-𫈟］
𫟕	［䕤-𫟕］
𫉁	［薆-𫉁］
薆	［薆-𫉁］
𫈎	［葝-𫈎］
𫟑	［䖅-𫟑］
𫈵	［蕝-𫈵］
𩔑	［𩔑-𫖷］
𫖷	［𩔑-𫖷］
𣎑	［臗-𣎑］
𦟼	［𦟼-𫆝］
𫆝	［𦟼-𫆝］
腪	［腪-𣍯］
𣍯	［腪-𣍯］
𦛨	［朥-𦛨］
𪱥	［膹-𪱥］
𦣎	［𦣎-𦟗］
䫂	［䫂-𫖰］
𫖰	［䫂-𫖰］
腼	［靦-腼䩄］
脧	［脧↦朘］
𦢈	［𦢈-𣍨］
鴅	［鴅-𫛝］
𫛝	［鴅-𫛝］
𣍰	［脥-𣍰］
胊	［胊↦朐］
𣍨	［𦢈-𣍨］
𦝼	［膢-𦝼］
䲢	［鰧-䲢］
䏝	［膞-䏝］
朥	［朥-𦛨］
𫞅	［𦠅-𫞅］
𦠅	［𦠅-𫞅］
𦟗	［𦣎-𦟗］
𫛳	［鵩-𫛳］
𪙏	［𪙏-𫜯］
𫜯	［𪙏-𫜯］
𥆧	［瞤-𥆧］
𪾸	［矉-𪾸］
𫜭	［齭-𫜭］
䁻	［䁻-䀥］
𫜬	［齰-𫜬］
鶌	［鶌-𫛵］
𫛵	［鶌-𫛵］
𤺔	［𤺔-𪽴］
𪽴	［𤺔-𪽴］
睍	［睍-𪾢］
𪾢	［睍-𪾢］
𣯴	［𣯴-𣭤］
毶	［𣯶-毶］
𧷎	［𧷎-𪠀］
𪠀	［𧷎-𪠀］
𪽭	［𤷃-𪽭］
𫜦	［𫜦-𫜫］
𫜫	［𫜦-𫜫］
𩭙	［𩭙-𩬣］
𥌃	［𥌃-𥅘］
𫜮	［齴-𫜮］
𫜪	［齩-𫜪］
𤷃	［𤷃-𪽭］
𩢾	［𩢾-𩧮］
𩧮	［𩢾-𩧮］
𫚓	［鮤-𫚓］
烮	［烮↦烈］
䶕	［䶕-𫜨］
𫜨	［䶕-𫜨］
𩰀	［𩰀-𩬤］
𩬤	［𩰀-𩬤］
䁪	［䁪-𥇢］
𥇢	［䁪-𥇢］
𪨗	［屩-𪨗］
㞞	［㞞-𪨊］
𫌭	［覹-𫌭］
𦧺	［𦧺-𫇘］
𫇘	［𦧺-𫇘］
𩯒	［𩯳-𩯒］
𩯁	［𩯁-𫙂］
𥅴	［䀹-𥅴］
𪽷	［瘱-𪽷］
𤸫	［𤸫-𤶧］
𤶧	［𤸫-𤶧］
𫖃	［靧-𫖃］
𫌯	［䚩-𫌯］
䚩	［䚩-𫌯］
䀥	［䁻-䀥］
𪽮	［㿖-𪽮］
𪾦	［矑-𪾦］
瘓	［瘓-痪］
𪨊	［㞞-𪨊］
𫘽	［鬠-𫘽］
䪾	［䪾-𫖬］
𫖬	［䪾-𫖬］
𫙂	［𩯁-𫙂］
𫠜	［齯-𫠜］
𣭤	［𣯴-𣭤］
𪄆	［𪄆-𪉔］
𪉔	［𪄆-𪉔］
𪘀	［𪘀-𪚏］
𪚏	［𪘀-𪚏］
𪃧	［𪃧-𫛹］
𫛹	［𪃧-𫛹］
𫆫	［𦡝-𫆫］
𦡝	［𦡝-𫆫］
𪘯	［𪘯-𪚐］
𪚐	［𪘯-𪚐］
𩬣	［𩭙-𩬣］
睜	［睜-睁］
𪽪	［痮-𪽪］
𪭾	［撊-𪭾］
㧏	［掆-㧏］
𫜲	［龓-𫜲］
𢶫	［𢶫-𢫞］
𫠖	［𩿅-𫠖］
擟	［擟-𪭧］
𪮳	［𢺳-𪮳］
𢺳	［𢺳-𪮳］
